"Kategori [Category]";"Produkt [Product]";"Sorteringsordning för produkter i en kategori [Position]";"Sorteringsordning för en produkts kategorier [PositionCategory]"
Categories/Mipaprodukter;840042;800;9999
Categories/Mipaprodukter;830320;810;9999
Categories/Mipaprodukter;832980;820;9999
Categories/Mipaprodukter;9003;830;20
Categories/Mipaprodukter;superwhite01;840;9999
Categories/Mipaprodukter;840090;850;9999
Categories/Mipaprodukter;superwhite;860;9999
Categories/Mipaprodukter;840101;870;9999
Categories/Mipaprodukter;840830;880;9999
Categories/Mipaprodukter;840542;890;9999
Categories/Mipaprodukter;840537;900;9999
Categories/Mipaprodukter;840045;910;9999
Categories/Mipaprodukter;840089;920;9999
Categories/Mipaprodukter;212910000;930;9999
Categories/Mipaprodukter;9004S;940;9999
Categories/Mipaprodukter;spraypac2;950;9999
Categories/Mipaprodukter;9001S;960;9999
Categories/Mipaprodukter;9005;970;20
Categories/Mipaprodukter;mipamatta;980;9999
Categories/Mipaprodukter;260210000;990;9999
Categories/Mipaprodukter;260250000;1000;9999
Categories/Mipaprodukter;9010;1010;9999
Categories/Mipaprodukter;224310000;1020;9999
Categories/Mipaprodukter;BC000;1030;9999
Categories/Mipaprodukter;213250001;1040;9999
Categories/Mipaprodukter;213360000;1050;9999
Categories/Mipaprodukter;212540000;1060;9999
Categories/Mipaprodukter;213040000;1070;9999
Categories/Mipaprodukter;288520000;1080;9999
Categories/Mipaprodukter;289610000;1090;20
Categories/Mipaprodukter;229110005;1100;9999
Categories/Mipaprodukter;246710000-5;1110;20
Categories/Mipaprodukter;Superred01;1120;20
Categories/Mipaprodukter;212900000;1130;20
Categories/Mipaprodukter;RAL-1234[3];1140;20
Categories/Mipaprodukter;RAL-1234[9];1150;20
Categories/Mipaprodukter;840015;1160;10
Categories/Mipaprodukter;682135500;1170;20
Categories/Mipaprodukter;237400000;1180;10
Categories/Mipaprodukter;9010Winter;1190;30
Categories/Mipaprodukter;9003Winter;1200;30
Categories/Mipaprodukter;9005Winter;1210;30
Categories/Mipaprodukter;superblue;1220;30
Categories/Mipaprodukter;supergrey;1230;30
Categories/Mipaprodukter;supergreen;1240;30
Categories/Mipaprodukter;840083;1250;30
Categories/Mipaprodukter;9004;1260;30
Categories/Mipaprodukter;9011;1270;20
Categories/Mipaprodukter;830320S;1280;20
Categories/Mipaprodukter;9014;1290;10
Categories/Mipaprodukter;840153;1300;10
Categories/Mipaprodukter;832983;1310;10
Categories/Mipaprodukter;"""2kspraypac/1""";1320;20
Categories/Trotonprodukter;1060;10;9999
Categories/Trotonprodukter;trotonclearcoat;20;9999
Categories/Trotonprodukter;4785;30;9999
Categories/Trotonprodukter;7449;40;9999
Categories/Trotonprodukter;trotonfiller;50;9999
Categories/Trotonprodukter;2380;60;9999
Categories/Trotonprodukter;4167_2331;70;9999
Categories/Trotonprodukter;00226-275;80;9999
Categories/Trotonprodukter;Filleri_3L_Troton;90;9999
Categories/Trotonprodukter;300002321;100;9999
Categories/Trotonprodukter;301981;110;9999
Categories/Trotonprodukter;00055;120;9999
Categories/Trotonprodukter;302239;130;9999
Categories/Trotonprodukter;ruiskutushaalari;140;40
Categories/Trotonprodukter;2010;150;9999
Categories/Trotonprodukter;ultrafast;160;9999
Categories/Trotonprodukter;03640;170;9999
Categories/Trotonprodukter;300000512;180;9999
Categories/Trotonprodukter;7358;190;9999
Categories/Trotonprodukter;300003661;200;9999
Categories/Trotonprodukter;300003818;210;9999
Categories/Trotonprodukter;300002235;220;9999
Categories/Trotonprodukter;2364;230;9999
Categories/Trotonprodukter;"""Troton 302931""";240;30
Categories/Trotonprodukter;300003568;250;9999
Categories/Trotonprodukter;300003663;260;9999
Categories/Trotonprodukter;1223;270;9999
Categories/Trotonprodukter;300002043;280;30
Categories/Trotonprodukter;300002298;290;9999
Categories/Trotonprodukter;2114;300;9999
Categories/Trotonprodukter;300000464;310;40
Categories/Trotonprodukter;300002290;320;9999
Categories/Trotonprodukter;1360;330;9999
Categories/Trotonprodukter;6301;340;9999
Categories/Trotonprodukter;2369;350;9999
Categories/Trotonprodukter;1601;360;9999
Categories/Trotonprodukter;300000518;370;9999
Categories/Trotonprodukter;3000001977;380;9999
Categories/Trotonprodukter;300002183;390;9999
Categories/Trotonprodukter;300001978;400;9999
Categories/Trotonprodukter;5197;410;9999
Categories/Trotonprodukter;5798;420;9999
Categories/Trotonprodukter;6664;430;9999
Categories/Trotonprodukter;2238;440;40
Categories/Trotonprodukter;301979;450;9999
Categories/Trotonprodukter;5432;460;9999
Categories/Trotonprodukter;7228;470;9999
Categories/Trotonprodukter;300003629;480;9999
Categories/Trotonprodukter;300001986;490;9999
Categories/Trotonprodukter;300003730;500;9999
Categories/Trotonprodukter;6667;510;9999
Categories/Trotonprodukter;2282;520;9999
Categories/Trotonprodukter;1147;530;9999
Categories/Trotonprodukter;1173;540;9999
Categories/Trotonprodukter;300005549;550;9999
Categories/Trotonprodukter;300002363;560;9999
Categories/Trotonprodukter;2239;570;40
Categories/Trotonprodukter;300003786;580;30
Categories/Trotonprodukter;6671;590;9999
Categories/Trotonprodukter;300003131;600;9999
Categories/Trotonprodukter;300002310;610;9999
Categories/Trotonprodukter;300002308;620;9999
Categories/Trotonprodukter;300006267;630;40
Categories/Trotonprodukter;11012;640;9999
Categories/Trotonprodukter;300005833;650;9999
Categories/Trotonprodukter;300008828;660;9999
Categories/Trotonprodukter;12167;670;9999
Categories/Trotonprodukter;12196;680;9999
Categories/Trotonprodukter;1131;690;9999
Categories/Trotonprodukter;00228-4;700;9999
Categories/Trotonprodukter;9410;710;9999
Categories/Trotonprodukter;boldpkt2;720;60
Categories/Trotonprodukter;300008716;730;9999
Categories/Trotonprodukter;300002307;740;9999
Categories/Trotonprodukter;2338;750;9999
Categories/Trotonprodukter;13086;760;9999
Categories/Trotonprodukter;13090;770;9999
Categories/Trotonprodukter;300002743;780;20
Categories/Trotonprodukter;300002318;790;9999
Categories/Trotonprodukter;300002741;800;9999
Categories/Trotonprodukter;300007143;810;10
Categories/Trotonprodukter;300007144;820;10
Categories/Trotonprodukter;Bonus_300002298;830;20
Categories/Trotonprodukter;Bonus_2238;840;30
Categories/Trotonprodukter;Bonus_7358;850;20
Categories/Trotonprodukter;Bonus_5798;860;20
Categories/Trotonprodukter;Bonus_2239;870;30
Categories/Trotonprodukter;Bonus_300008716;880;40
Categories/Trotonprodukter;Bonus_300000512;890;20
Categories/Trotonprodukter;14949-14951;900;20
Categories/Trotonprodukter;14213;910;20
Categories/Trotonprodukter;14214;920;20
Categories/Trotonprodukter;14212;930;20
Categories/Trotonprodukter;9880;940;9999
Categories/Trotonprodukter;"""C108 paket 7,5L""";950;9999
Categories/Trotonprodukter;13088;960;9999
Categories/Trotonprodukter;clearcoattroton;970;30
Categories/Trotonprodukter;11695-11696;980;9999
Categories/Trotonprodukter;11999-12000;990;9999
Categories/Trotonprodukter;17118-5433;1000;30
Categories/Trotonprodukter;11733;1010;10
Categories/Trotonprodukter;1603;1020;20
Categories/SWE_nationaldag_2023;2239;10;50
Categories/SWE_nationaldag_2023;2238;20;50
Categories/SWE_nationaldag_2023;13086;30;9999
Categories/SWE_nationaldag_2023;13090;40;9999
Categories/SWE_nationaldag_2023;Bonus_2238;50;40
Categories/SWE_nationaldag_2023;Bonus_2239;60;40
Categories/farga_varld;superwhite;10;9999
Categories/farga_varld;9002;20;9999
Categories/farga_varld;9003;30;30
Categories/farga_varld;9004S;40;9999
Categories/farga_varld;superblue;50;40
Categories/farga_varld;supergrey;60;40
Categories/farga_varld;supergreen;70;40
Categories/HW2023;300005833;10;9999
Categories/HW2023;5432;20;9999
Categories/HW2023;trotonfiller;30;9999
Categories/HW2023;300002235;40;9999
Categories/HW2023;2114;50;9999
Categories/HW2023;2369;60;9999
Categories/HW2023;1060;70;9999
Categories/HW2023;5197;80;9999
Categories/HW2023;6671;90;9999
Categories/HW2023;1223;100;9999
Categories/HW2023;5798;110;9999
Categories/HW2023;2364;120;9999
Categories/HW2023;7358;130;9999
Categories/HW2023;9410;140;9999
Categories/HW2023;7228;150;9999
Categories/HW2023;1360;160;9999
Categories/HW2023;6664;170;9999
Categories/HW2023;136050S;180;9999
Categories/HW2023;220623;190;40
Categories/HW2023;220333;200;40
Categories/HW2023;213070000;210;9999
Categories/HW2023;840108-035;220;9999
Categories/HW2023;294010000;230;9999
Categories/HW2023;213360000;240;9999
Categories/HW2023;150407;250;9999
Categories/HW2023;masternet150mm;260;9999
Categories/HW2023;masternet198mm;270;9999
Categories/HW2023;masternet420mm;280;9999
Categories/HW2023;300007780;290;9999
Categories/HW2023;Bonus_220333;300;30
Categories/HW2023;Bonus_7358;310;30
Categories/HW2023;Bonus_5798;320;30
Categories/Demoetusivu/Outlet;300659;10;9999
Categories/Lackeringspaket;9002;10;9999
Categories/Lackeringspaket;9010;20;9999
Categories/Lackeringspaket;9003;30;40
Categories/Lackeringspaket;9005;40;30
Categories/Lackeringspaket;superblack;50;40
Categories/Lackeringspaket;superwhite;60;9999
Categories/Lackeringspaket;Superred;70;9999
Categories/Lackeringspaket;9011S;80;9999
Categories/Lackeringspaket;9001S;90;9999
Categories/Lackeringspaket;9004S;100;9999
Categories/Lackeringspaket;7777;110;9999
Categories/Lackeringspaket;superblue;120;60
Categories/Lackeringspaket;supergrey;130;60
Categories/Lackeringspaket;supergreen;140;60
Categories/Lackeringspaket;9001;150;9999
Categories/Lackeringspaket;9011;160;9999
Categories/Lackeringspaket;9004;170;9999
Categories/Lackeringspaket;megapaket;180;9999
Categories/Lackeringspaket;"""2kspraypac/kit1""";190;9999
Categories/Lackeringspaket;"""2KspraypacACR/kit""";200;30
Categories/Lackeringspaket;spraypac4;230;9999
Categories/Lackeringspaket;spraypac3;240;9999
Categories/Lackeringspaket;2KspraypacACR;250;9999
Categories/Lackeringspaket;2kspraypac;260;40
Categories/Lackeringspaket;spraypac2;270;9999
Categories/paskkampanj_2024;9002;10;9999
Categories/paskkampanj_2024;9010;20;9999
Categories/paskkampanj_2024;9003;30;50
Categories/paskkampanj_2024;9005;40;40
Categories/paskkampanj_2024;9011S;50;9999
Categories/paskkampanj_2024;9001S;60;9999
Categories/paskkampanj_2024;9004S;70;9999
Categories/paskkampanj_2024;superblack;80;50
Categories/paskkampanj_2024;superwhite;90;9999
Categories/paskkampanj_2024;Superred;100;9999
Categories/paskkampanj_2024;spraypac4;110;9999
Categories/paskkampanj_2024;spraypac3;120;9999
Categories/paskkampanj_2024;superblue;130;70
Categories/paskkampanj_2024;supergrey;140;70
Categories/paskkampanj_2024;supergreen;150;70
Categories/Utlottning_produkter;9003;10;60
Categories/Utlottning_produkter;161914;20;9999
Categories/Utlottning_produkter;Bonus_161914;30;20
Categories/10_superpaketen;superblack;10;70
Categories/10_superpaketen;superwhite01;20;9999
Categories/10_superpaketen;superwhite;30;9999
Categories/10_superpaketen;Superred;40;9999
Categories/10_superpaketen;Superred01;50;9999
Categories/10_superpaketen;supergreen01;60;30
Categories/10_superpaketen;supergrey01;70;30
Categories/10_superpaketen;superblue01;80;30
Categories/10_superpaketen;superblue;90;9999
Categories/10_superpaketen;supergrey;100;9999
Categories/10_superpaketen;supergreen;110;9999
Categories/brayt_rabatt_15;10321;10;9999
Categories/brayt_rabatt_15;300005441;20;9999
Categories/brayt_rabatt_15;12152;30;9999
Categories/brayt_rabatt_15;300005446;40;9999
Categories/brayt_rabatt_15;300005573;50;9999
Categories/brayt_rabatt_15;300006617;60;9999
Categories/brayt_rabatt_15;300005447;70;9999
Categories/brayt_rabatt_15;10090;80;9999
Categories/brayt_rabatt_15;11249;90;9999
Categories/brayt_rabatt_15;300007597;100;9999
Categories/brayt_rabatt_15;300009333;110;9999
Categories/brayt_rabatt_15;300009335;120;9999
Categories/brayt_rabatt_15;300006611;130;9999
Categories/brayt_rabatt_15;300006612;140;9999
Categories/brayt_rabatt_15;Bonus_10090;150;9999
Categories/brayt_rabatt_15;Bonus_300007597;160;9999
Categories/SpackelGrundfaerg_10;300008716;10;9999
Categories/SpackelGrundfaerg_10;boldpkt2;20;9999
Categories/SpackelGrundfaerg_10;1131;30;9999
Categories/SpackelGrundfaerg_10;6671;40;9999
Categories/SpackelGrundfaerg_10;1173;50;9999
Categories/SpackelGrundfaerg_10;1147;60;9999
Categories/SpackelGrundfaerg_10;6664;70;9999
Categories/SpackelGrundfaerg_10;5798;80;9999
Categories/SpackelGrundfaerg_10;5197;90;9999
Categories/SpackelGrundfaerg_10;7358;100;9999
Categories/SpackelGrundfaerg_10;2369;110;9999
Categories/SpackelGrundfaerg_10;2380;120;9999
Categories/SpackelGrundfaerg_10;1223;130;9999
Categories/SpackelGrundfaerg_10;1060;140;9999
Categories/SpackelGrundfaerg_10;2364;150;9999
Categories/SpackelGrundfaerg_10;00226-275;160;9999
Categories/SpackelGrundfaerg_10;Filleri_3L_Troton;170;9999
Categories/SpackelGrundfaerg_10;1601;180;9999
Categories/SpackelGrundfaerg_10;2114;190;9999
Categories/SpackelGrundfaerg_10;302239;200;9999
Categories/SpackelGrundfaerg_10;trotonfiller;210;9999
Categories/SpackelGrundfaerg_10;00228-4;220;9999
